French,English,Gender,Type
aliment,(item of) food,masculine,noun
carte,menu,feminine,noun
a la carte,from the regulat menu,none,phrase
entrée,first course,feminine,noun
four,oven,masculine,noun
frais,fresh,masculine,adjective
fraiche,fresh,feminine,adjective
gout,taste,masculine,noun
avoir bon gout,to have good taste,none,phrase
avoir mauvais gout,to have bad taste,none,phrase
avoir un bon gout,to taste good,none,phrase
avoir un mauvais gout,to taste bad,none,phrase
de bon gout,in good taste,none,phrase
de mauvais gout,in bad taste,none,phrase
gouter,to taste,none,verb
inviter,to invite/to offer to pay/ to treat(someone),none,verb
un marchand,male merchant,masculine,noun
une marchande,female merchant,feminine,noun
marche (en plein air),a market (open air),masculine,noun
faire le marche (les courses),to go shopping/ to run errands,none,phrase
menu,fixed price menu (usually with an entrée and un plat principal,masculine,noun
petit commercant,male small shopkeeper,masculine,noun
petite commercante,female small shopkeeper,feminine,noun
plat du hour,daily special,masculine,noun
plat principal,main (dish/course),masculine,noun
plat regional,regional dish,masculine,noun
servir,to serve,none,verb
servir a,to be used for,none,verb
se servir de,to use,none,verb
allege,light/ low fat,masculine,adjective
allegee,light/ low fat,feminine,adjective
boite,box,feminine,noun
boite de conserve,can (of food),feminine,noun
consommer,to consume,none,verb
faire (suivre)un regime,to be on a diet,none,phrase
(restaurant) fast-food,fast food restaurant,masculine,noun
grignoter,to snack,none,verb
hypermarche,extra-large supermarket,masculine,noun
materieres grasses,fats,feminine,noun
(four a) micro-ondes,microwave (oven),masculine,noun
n'importe quoi,any old thing/ anything,none,phrase
"nourriture (biologique, ""bio"")",(organic) food,feminine,noun
bourrir,to feed,none,verb
se nourrir de,to eat,none,verb
OGM (organismes genetiquement modifies),genetically modified organisms,masculine,noun
plat cuisine,precooked dish,masculine,noun
remplacer,to replace,none,verb
sain,healthy,masculine,adjective
saine,healthy,feminine,adjective
malsain,healthy,masculine,adjective
malsaine,healthy,feminine,adjective
manger sainement,to eat well,none,phrase
manger mal,to eat badlly,none,phrase
supporter,to put up with,none,verb
(produit) surgele,frozen food,masculine,noun
vegetalien,male vegan,masculine,noun
vegetalienne,female vegan,feminine,noun
vegetarien,male vegetarian,masculine,noun
vegetarienne,female vegetarian,feminine,noun
banlieue,suburb,feminine,noun
campagne,countryside/ rural area,feminine,noun
centre-ville,downtown,masculine,noun
climat,climate,masculine,noun
colline,hill,feminine,noun
cote,coast,feminine,noun
fleuve,river (that flows into the sea),masculine,noun
massif,old rounded mountain range,masculine,noun
pays,country/ region,masculine,noun
paysage,scenery/ surroundings,masculine,noun
plaine,plain/ plains,feminine,noun
riviere,river (that flows into another river),feminine,noun
terre,land/ earth,feminine,noun
ville-dortoir,bedroom community,feminine,noun
agriculture,agriulture,feminine,noun
agriculteur,male farmer,masculine,noun
agricultrice,female farmer,feminine,noun
agricole,agriculture,neutral,adjective
changement,change,masculine,noun
economie,ecomony,feminine,noun
exode,exodus/ departure,masculine,noun
ferme,farm,feminine,noun
fete,party/ festival/ holiday,feminine,noun
heriter,to inherit,none,verb
mondialisation,globalization,feminine,noun
monument (historique),(historical) monument,masculine,noun
monument aux morts,war memorial,masculine,noun
region,region,feminine,noun
regionalisme,regionalism,masculine,noun
resoudre,to solve/ to resolve (a problem),none,verb
se resoudre a ,to be resigned to (doing something),none,verb
rural,rural,masculine,adjective
rurale,rural,feminine,adjective
tenir,to hold,none,verb
tenir a ,to hold dear/ to value,none,verb
urbain,urban,masculine,adjective
urbaine,urban,feminine,adjective
