1,one ,un,(uno)
2,two,deux,(dos)
3,three,trois,(tres)
4,four,quatre,(quatro)
5,five,cinq,(cinco)
6,six,six,(seis)
7,seven,sept,(siete)
8,eight,huit,(ocho)
9,nine,neuf,(nueve)
10,ten,dix,(diez)
11,eleven,onze,(once)
12,twelve,douze,(doce)
13,thirteen,treize,(trese)
14,fourteen,quatorze ,(quatorse)
15,fifteen,quinze,(quince)
16,sixteen,seize,(diez y seis)
17,seventeen,dix-sept,(diez y siete)
18,eighteen,dix-huit,(diez y ocho)
19,nineteen,dix-neuf,(diez y nueve)
20,twenty,vingt,(veinte)
