facebook.com,173.252.120.68
ifeng.com,210.51.19.61
hotmail.com,157.55.152.112
amazon.com,54.239.17.6
youtube.com,216.58.217.46
wordpress.com,192.0.78.17
goo.ne.jp,153.254.147.65
paipai.com,163.177.72.179
360.cn,222.73.144.195
bbc.co.uk,212.58.244.22
craigslist.org,208.82.238.129
alipay.com,110.76.19.33
tudou.com,123.126.98.148
yahoo.com,98.139.183.24
live.com,65.55.206.154
wikipedia.org,208.80.153.224
msn.com,23.101.196.141
baidu.com,220.181.57.217
blogspot.com,216.58.217.9
microsoft.com,23.96.52.53
qq.com,125.39.240.113
taobao.com,140.205.220.96
bing.com,204.79.197.200
weather.com,23.217.102.116
soku.com,123.126.99.35
softonic.com,46.28.209.20
alibaba.com,198.11.132.23
megaupload.com,
yandex.ru,5.255.255.5
renren.com,106.120.180.243
livedoor.jp,125.6.149.67
myspace.com,63.135.90.70
blogger.com,216.58.217.9
nifty.com,222.158.213.148
vkontakte.ru,95.213.4.247
answers.com,67.196.156.65
sina.com.cn,202.108.33.60
rapidshare.com,10.11.12.13
imageshack.us,208.94.3.19
cnn.com,157.166.226.26
tianya.cn,124.225.65.154
mywebsearch.com,74.113.233.48
zynga.com,54.200.204.21
partypoker.com,88.81.155.145
hp.com,15.217.232.245
walmart.com,161.170.248.20
kugou.com,14.18.236.182
yahoo.co.jp,182.22.59.229
mail.ru,94.100.180.200
ebay.de,66.135.201.153
youdao.com,61.135.218.26
hotfile.com,199.184.144.150
daum.net,110.45.215.23
soso.com,106.120.151.169
163.com,123.58.180.8
cnet.com,64.30.224.118
7k7k.com,115.182.59.33
go.com,199.181.131.249
4399.com,118.184.184.70
orkut.com,216.58.217.14
skype.com,40.121.80.200
ameblo.jp,180.233.142.129
ask.com,66.235.120.127
sohu.com,220.181.90.20
apple.com,17.178.96.59
adobe.com,192.150.16.117
qiyi.com,101.227.22.162
twitter.com,199.59.149.198
2345.com,42.62.30.180
photobucket.com,209.17.68.100
mozilla.com,63.245.213.24
youku.com,111.13.127.48
mediafire.com,205.196.120.13
ehow.com,23.227.11.12
naver.com,125.209.222.142
seesaa.net,59.106.98.139
flickr.com,69.147.76.173
4shared.com,204.155.149.38
sdjjdsaf.com,
amazon.co.jp,54.240.250.0
andysayler.com,162.243.49.20
linkedin.com,108.174.10.10
dailymotion.com,195.8.215.136
imdb.com,72.21.206.80
pconline.com.cn,219.136.245.40
aol.com,149.174.107.97
wmfo.org,23.92.21.128
hao123.com,123.125.115.150
windows.com,191.235.218.166
ebay.com,66.211.162.12
odnoklassniki.ru,5.61.23.5
jp.msn.com,23.101.196.141
pps.tv,58.83.190.154
xunlei.com,182.118.18.100
56.com,101.227.173.126
fc2.com,54.193.38.89
paypal.com,66.211.169.66
sogou.com,106.120.188.48
tmall.com,110.75.114.89
ku6.com,122.11.45.243
rakuten.co.jp,133.237.48.124
about.com,207.241.148.80
orkut.com.br,216.58.217.14
